"a";"Art";"एक"
"scabies";"N";"खुजली"
"scabious";"N";"खरसैला"
"scabrous";"Adj";"खुरदारा"
"scabrous";"Adj";"अश्लील"
"scads";"N";"ढएरसारे"
"scaffold";"N";"फासी का तख्ता"
"scaffold";"N";"पाड"
"scaffolding";"N";"मंच"
"scaler";"N";"अदिश"
"scalawag";"N";"दुर्जन"
"scalawag";"N";"बदमाश"
"scald";"V";"जलानागरम पानी से"
"scald";"V";"गरम करना"
"scald";"V";"उबालना"
"scald";"N";"जला"
"scald";"N";"द्रवदाह"
"Scalding";"Adj";"गर्मउबला जैसा"
"scale";"N";"छिलका"
"scale";"N";"पपडई"
"scale";"N";"कीट"
"scale";"N";"माप"
"scale";"N";"मापक्रम"
"scale";"N";"मानदण्ड"
"scale";"N";"स्वरग्राम"
"scale";"N";"पैमाना"
"scale";"V";"छिलका या परत उतारना"
"scale down";"V";"कम करना"
"scale up";"V";"बडआना"
"scally";"Adj";"पपडइला"
"scallion";"N";"प्याज"
"scallop";"N";"घोंघा"
"scallywag";"N";"दुर्जन"
"scallywag";"N";"बदमाश"
"scalp";"N";"सिर की खाल"
"scalp";"V";"सिर की खाल् उतारना"
"scalpel";"N";"क्षुरिका"
"scam";"N";"घोटाला"
"scamp";"N";"बदमाश"
"scamper";"V";"दौड जाना"
"scampi";"N";"एक तरह का झींगा"
"scan";"V";"पर्यवेक्षण करना"
"scandal";"N";"अनैतिक आचरण"
"scandalize";"V";"दुखी करना"
"scandalous";"Adj";"दुखकारी"
"scandalmongers";"N";"चुगलखोर"
"scansion";"V";"पर्यवेक्षण करना"
"scant";"Adj";"अपर्याप्त"
"scanty";"Adj";"अल्प"
"scape";"N";"दृश्य"
"scapegoat";"N";"बलि का बकरा"
"scapula";"N";"स्कन्धास्थि"
"scar";"N";"दाग"
"scar";"N";"क्षतचिह्न"
"scarce";"Adj";"दुर्लभ"
"scarcity";"N";"अभाव"
"scarcity";"N";"कमी"
"scarcely";"Adv";"मुशकिल से"
"scare";"V";"डरना"
"scare";"N";"डर"
"scared";"Adj";"डराहुआ"
"scary";"Adj";"डरावना"
"screcrow";"N";"बिजूखा"
"scarf";"N";"स्कार्फ"
"scarlet";"Adj";"सिंदूरीलाल"
"scarp";"N";"ढाल"
"scarper";"V";"भाग जाना"
"scathing";"Adj";"कटु"
"scathingly";"Adv";"कटुतापूर्वक"
"scatter";"V";"तितर-बितर करना"
"scatterbrain";"N";"अविवेकी"
"scatterbrained";"Adj";"अविवेकी"
"scatty";"Adj";"पगला"
"scavenge";"V";"सफआई करना"
"scenenario";"N";"दृश्य लेख"
"scene";"N";"घटनास्थल"
"scene";"N";"घटना"
"scene";"N";"तमाशा"
"scene";"N";"दृश्य"
"scenery";"N";"प्राकृतिक दृश्य"
"scenery";"N";"मंच सज्जा"
"scenic";"Adj";"प्राकृतिक"
"scent";"N";"गन्ध"
"scent";"N";"अतर"
"scent";"N";"खोज"
"scent";"V";"सूघना"
"scent";"V";"भापना"
"scent";"V";"सुगन्धित करना"
"sceptre";"N";"राजदण्ड"
"sceptic";"N";"अविश्वासी"
"sceptical";"Adj";"अविश्वासी"
"sceptical";"Adj";"संशयात्मा"
"scepticism";"N";"अविश्वास"
"schedule";"N";"कार्यक्रम"
"schedule";"N";"सूची"
"scheduled";"V";"परिगणित"
"schema";"N";"रूपरेखा"
"schematic";"Adj";"योजना बद्ध"
"scheme";"N";"योजना"
"scheme";"N";"पद्धति"
"scheme";"V";"योजना बनाना"
"Scherzo";"N";""
"schism";"N";"फूट"
"schism";"N";"विच्छेद"
"schismatic";"Adj";"विच्छिन्न"
"schismatic";"Adj";"विच्छेदकारी"
"Schizoid";"N";"एक प्रकार का पागल मनुष्य"
"Schizophrenia";"N";"एक प्रकार का पागलपन"
"Schizophrenic";"N";"पागलपन"
"schlock";"N";"रद्दी माल"
"schmo";"N";"मूर्ख"
"schnapps";"N";"एक तरह का नशीली पदार्थ"
"scholor";"N";"वृत्ति छात्र"
"scholor";"N";"विद्वान"
"scholorship";"N";"छात्र वृत्ति"
"scholastic";"Adj";"शैक्षिक"
"school";"N";"विद्यालय"
"school";"N";"शिक्षा"
"school";"N";"शाखा"
"school";"V";"प्रशिक्षित करना"
"schooling";"N";"प्रशिक्षण"
"schoolage";"N";"शिक्षा काल"
"schooldays";"N";"विद्यार्थि जीवन"
"school Friend";"N";"सह विद्यार्थि"
"school leaver";"N";"प्रशिक्षित विद्यार्थि"
"school boy";"N";"स्कूली लडका"
"school Child";"N";"स्कूली बच्चा"
"school Fellow";"N";"सहपाठी"
"school Girl";"N";"स्कूली लडकी"
"school House";"N";"विद्यालय भवन"
"school Master";"N";"अध्यापक"
"school mate";"N";"सहपाठी"
"school teacher";"N";"शिक्षक"
"schooner";"N";"स्कूनर"
"Schwa";"N";"अकाह्स्वरूप"
"sciatic";"Adj";"नितंब संबन्धी"
"science";"N";"विज्ञान"
"scientific";"Adj";"वैज्ञानिक"
"science Fiction";"N";"काल्पनिक विज्ञान"
"science Park";"N";"वैज्ञानिक प्रयोगशाला"
"scientist";"N";"वैज्ञानिक"
"scimitar";"N";"शंशेरी"
"scintilla";"N";"लवलेश"
"Scintillating";"Adj";"लघुरूप"
"scion";"N";"वंशज"
"scissors";"N";"कैची"
"sclerosis";"N";"काठिन्य"
"sclerotic";"Adj";"कठिन"
"scoff";"V";"उपहास करना"
"scold";"V";"डाटना"
"scolding";"N";"डाट"
"scolding";"N";"झडकी"
"scone";"N";"केक"
"scoop";"N";"कलछी"
"scoop";"N";"हतथा"
"scoop";"N";"अनूठी खबर"
"scoop";"N";"तगडआ गूनाफा"
"Scoot";"V";"शीघ्रपहुचना"
"scooter";"N";"स्कूटर"
"scope";"N";"गुंजाइष"
"scope";"N";"विस्तार"
"scarch";"V";"झुलसना"
"scarch";"V";"तेज गति से चलाना"
"scorcher";"N";"गरमी दिन"
"scorcher";"N";"जओरदार मार"
"scarching";"Adj";"अत्युष्ण"
"scarched earth policy";"N";"सर्व क्षार-नीति"
"Scarchmark";"N";"खरोंचकेनिशान"
"score";"N";"प्राप्तांक"
"score";"N";"अंक"
"score";"N";"स्वरलिपि"
"score";"N";"संगीतलेख"
"score";"N";"कोडई"
"score";"N";"बीसी"
"score";"N";"खरोंच"
"Scoreless";"Adj";"रनरहित"
"Scoredraw";"N";"बराबरपारी"
"scoresheet";"N";"अंकसूची"
"score";"V";"अंक बनाना"
"score";"V";"अंक लिखाना"
"score";"V";"अंक पाना"
"score";"V";"विजयी होना"
"score";"V";"स्वरलिपि तैयार करना"
"score";"V";"खरोंचना"
"scorer";"N";"गणक"
"scorer";"N";"स्कोर बबनानेवाला"
"scoreboard";"N";"अंक फलक"
"Scoreline";"N";"अन्तिमरनसख्या"
"scorn";"V";"से घृणा करना"
"scorn";"V";"तिरस्कार करना"
"scornful";"Adj";"घृणापूर्ण"
"scorpio";"N";"वृश्चिक"
"scorpion";"N";"बिच्छू"
"scorpion";"N";"वृशिचिक"
"scot";"N";"कर"
"scot";"N";"स्काटलैंड् वासी"
"scotch";"Adj";"स्काटलैंड-संबंधी"
"scotch Broth";"N";"अनाज और सब्जियों की रसा"
"scotch tape";"N";"फीता"
"Scotch Egg";"N";"तलाअंडागोश्तलगाहुआ"
"Scot free";"Adv";"बिना सजा के"
"scotland yard";"N";"लंदन पुलिस की मुख्य कार्यालय"
"scots";"Adj";"स्काटलैंड् की"
"Scotsman";"N";"स्कॉटनिवासी"
"Scotswoman";"N";"स्कॉटनिवासिनी"
"scottish";"Adj";"स्काटलैंड् की"
"scoundrel";"N";"बदमाश"
"scoundrel";"N";"दुष्ट"
"scour";"V";"माजना"
"scour";"V";"छान डालना"
"scourer";"N";"माZजनेवाला"
"scourge";"N";"कोडआ"
"scourge";"N";"लोक कंटक"
"Scouse";"N";"लीवरपूलकीबोली"
"Scouser";"N";"लीवरपूलनिवासी"
"scout";"N";"बालचर"
"scout";"N";"गुप्तचर"
"scoutmaster";"N";"स्काउट् दल की नेता"
"scoul";"N";"तेवर"
"scrabble";"V";"टटोलना"
"scrabble";"V";"खरोंचना"
"scraggy";"Adj";"दुबला-पतला"
"scram";"V";"धत"
"scramble";"V";"चढनाहाथ पैर के बल से"
"scramble";"V";"संघर्ष करना"
"scrap";"N";"टुकडआ"
"scrapbook";"N";"कतरन रजिस्टर"
"scrapbook";"N";"संग्राह पुस्तिका"
"scrape";"V";"छीलना"
"scrape";"V";"रगडना"
"scrape";"V";"खरोंच खाना"
"scrape";"V";"घिसना"
"scrape";"V";"खोदना"
"scratch";"V";"खुरचना"
"scratch";"V";"घसीटना"
"scratch";"V";"खुजलाना"
"scratch";"V";"वापस लेना"
"scrawl";"V";"घसीटना"
"scream";"N";"चीख"
"scream";"V";"चीखना"
"scree";"N";"शैल-मलवा"
"screech";"V";"चीत्कार करना"
"screech";"V";"कर्कशध्वनि करना"
"screed";"N";"राम-कहानी"
"screed";"N";"परत"
"screen";"N";"परदा"
"screen";"N";"आड"
"screen";"N";"चित्रपट"
"screen";"V";"आड देना"
"screen";"V";"छिपाना"
"screen";"V";"जाचना"
"screen";"V";"प्रदर्शित करना"
"screen play";"N";"फिल्म नाटक"
"Screen writer";"N";"पटकथालेखक"
"screw";"N";"पेंच"
"screw";"N";"फेर"
"Screwy";"Adj";"बकवास"
"Screw ball";"N";"सनकी"
"Screw ball";"N";"झक्की"
"Screwed up";"Adj";"मुरझाना"
"Screwed up";"Adj";"मसोसना"
"Screw topped";"Adj";"पेंचदार ढक्कन"
"screw driver";"N";"पेंचकस"
"scribble";"V";"घसीटना"
"Scribe";"N";"लिपिक"
"scrimmage";"N";"हाथापायी"
"scrimp";"V";"मितव्ययी होना"
"scrip";"N";"पावती पत्र"
"script";"N";"लिखावट"
"script";"N";"हस्तलिपि"
"script";"N";"शैली"
"scripture";"N";"धर्मग्रन्थ"
"script Writer";"N";"कथा लेखक"
"scroll";"N";"चीरक"
"scrooge";"N";"कंजूस"
"scrotum";"N";"अण्डकोशकीथैलीपशुओमें"
"Scrounge";"V";"उडआलेना"
"scrub";"V";"मार्जन करना"
"scrub";"N";"झाडई"
"scruff";"N";"गरदन"
"scruffy";"Adj";"गंदा"
"scrum";"N";"झुंड"
"scrumptious";"Adj";"स्वादिष्ट"
"Scrunch";"V";"चीखना"
"scruple";"N";"नैतिक संकोच"
"scruple";"V";"झिझखना"
"scrupulous";"Adj";"कर्तव्य निष्ठ"
"scrutineer";"N";"मतपत्र-निरीक्षक"
"scrutinize";"V";"जाचना"
"scrutiny";"N";"सूक्ष्म परीक्षण"
"Scuba diving";"N";""
"scud";"V";"तेजई से दौडना"
"scud";"V";"उडना"
"scud";"V";"ब्ह्जाना"
"scuff";"V";"पैर घसीटकर चलना"
"scuffle";"N";"हाथा पाई"
"scull";"N";"छोटा चप्पू"
"scullery";"N";"बर्तन माजने की जगह"
"sculpt";"V";"मूर्ति बनाना"
"sculptor";"N";"मूर्तिकार"
"sculputure";"N";"मूर्तिकला"
"sculpture";"V";"मूर्ति बनाना"
"sculptural";"Adj";"मूर्तिकला से संबंधित"
"scum";"N";"मैल"
"scum";"N";"हेय व्यक्ति"
"scummy";"Adj";"झागदार"
"scupper";"V";"असफल करना"
"Scurrilous";"Adj";"बदजबान"
"Scurrilous";"Adj";"अश्लील"
"Scurrilously";"Adv";"फऊहडपन से"
"scurry";"V";"दौड जाना"
"Scurvy";"N";"मसूडओसेरक्तबहनेकीबीमारी"
"scuttle";"V";"भाग जाना"
"scuttle";"V";"छेद बनाना"
"scuttle";"N";"झाबा"
"scythe";"N";"घास काटने की हअसिया"
"scythe";"N";"दराती"
"scythe";"V";"काटना"
"sea";"N";"समुद्र"
"Sea Air";"N";"समुद्री वायु"
"sea Anemone";"N";"समुद्रफऊल"
"sea bed";"N";"समुद्र तट"
"sea bird";"N";"समुद्री पक्षी"
"sea breeze";"N";"सागरीय समीर"
"seachange";"N";"आमूल परिवर्तन"
"sea dog";"N";"अनुभवी नाविक"
"sea front";"N";"तटीय नगरभाग"
"sea green";"Adj";"हल्का नीला रंग"
"sea horse";"N";"दरियाई घोडआ"
"Sea legs";"N";"जहाज पर चलना"
"sea level";"N";"समुद्र तल"
"sea lion";"N";"जल सिंह"
"sea lord";"N";"नौ सेना में चार लोगों का समूह"
"sea power";"N";"नौसेना"
"sea shell";"N";"सीप"
"sea shell";"N";"शंख"
"seaside";"N";"समुद्र_का_किनारा"
"sea urchin";"N";"जलसाही"
"sea wall";"N";"समुद्र तटबन्ध"
"sea water";"N";"समुद्र-जल"
"sea board";"N";"समुद्र तट"
"sea borne";"N";"समुद्री"
"sea farer";"N";"मल्लाह"
"sea faring";"Adj";"समुद्री यात्रा"
"sea food";"N";"समुद्री भोजन"
"sea going";"Adj";"समुद्रगामी"
"seagull";"N";"सामुद्रिक चिडइया"
"seal";"N";"सील मछली"
"seal";"N";"मोहर"
"seal";"N";"मुद्रा"
"seal";"N";"वह वस्तु जिसके द्वारा मुहर लगाई जाती है"
"seal";"N";"जोडने के लिए प्रयुक्त होने वाला पदार्थ"
"seal";"N";"सुरक्षा के लिए प्रयुक्त होने वाला पदार्थ"
"sealing";"N";"सील का शिकारी"
"seal";"V";"बन्द करना"
"seal";"V";"मोहर लगाना"
"seal";"V";"रोक लगाना"
"Sealant";"N";"एकप्रकारकासील"
"sealing wax";"N";"मोहरी लाख"
"Seam";"N";"सीवन जोड"
"Seam";"N";"परत"
"seamed";"Adj";"सीवनदार"
"seamless";"Adj";"सीवनरहित"
"seaman";"N";"नाविक"
"seamanship";"N";"नाविक कला"
"seamstress";"N";"दरजिन"
"seamy";"Adj";"बीभत्स"
"sअन्चे";"N";"आध्यात्मिक विषय की सभा"
"seaplane";"N";"समुद्री विमान"
"seaport";"N";"बन्दरगाह"
"sear";"V";"झुलसाना"
"search";"V";"तलाशकरना"
"search";"N";"तलाश"
"search";"N";"खोज"
"searcher";"N";"खोजनेवाला"
"Searching";"Adj";"भेदक"
"search party";"N";"अन्वेषक दल"
"search warrant";"N";"तलाशी अधिपत्र"
"search light";"N";"खोज बत्ती"
"sea scape";"N";"समुद्री दृश्य"
"sea shore";"N";"समुद्र तट"
"seasick";"Adj";"जहाजी मतली"
"sea side";"N";"समुद्र तट"
"season";"N";"ऋतु"
"season";"N";"मौसम"
"season";"N";"मौका"
"season ticket";"N";"मौसमी टिकट"
"season";"V";"स्वादिष्ट बनाना"
"season";"V";"सीअना"
"seasoned";"Adv";"अनुभवी"
"seasoning";"N";"मसाला"
"seasoning";"N";"नमक-मिर्च"
"seasonable";"Adj";"समयोचित"
"seasonal";"Adj";"ऋतुनिष्ट"
"seat";"N";"आसन"
"seat";"N";"स्थान"
"seat";"N";"पद"
"seat";"N";"आधार"
"seat";"N";"अधीष्ठान"
"seater";"N";"सीट वाला"
"Seat belt";"N";"सीट पेटी"
"seat";"V";"बैठाना"
"seat";"V";"बैठ जाना"
"seat";"V";"के लिए जगह होना"
"seating";"N";"बैठने का स्थान"
"seaward";"Adv";"समुद्र की ओर"
"seaward";"Adj";"समुद्राभिमुख"
"sea way";"N";"समुद्र मार्ग"
"sea weed";"N";"समुद्री शैवाल"
"seaworthy";"Adj";"यात्रायोग्य"
"sebaceous";"Adj";"वसामय"
"sec";"N";"सेकण्ड"
"sec";"N";"सेक्रेटरी"
"secateurs";"N";"कैंचा"
"secede";"V";"अलग होना"
"secession";"N";"संबन्धविच्छेद"
"secessionist";"Adj";"पृथकतावादी"
"seclude";"V";"समाज से दूर रखना"
"secluded";"Adj";"एकांत"
"seclusion";"N";"एकांतता"
"second";"Pron/Det";"दूसरा"
"second";"N";"क्षण"
"second to none";"IDM";"सर्वोत्तम"
"secondly";"Adv";"दूसरे"
"second ballot";"N";"दोबारामतदानगडबडईकेकारण"
"second best";"Adj";"दूसरे दर्जे पर"
"second best";"Adj";"मध्यम"
"second best";"Adj";"पराजित"
"second Class";"N";"द्वितीय श्रेणी"
"Second Cousin";"N";"चचेरेकाचचेरा"
"second Guess";"V";"भविष्य का अनुमान करना"
"second hand";"Adj";"पुराना"
"second hand";"Adj";"दूसरे से प्राप्त किया गया"
"second home";"N";"अवकाश की विश्रांति घार"
"second Language";"N";"दूसरी भाषा"
"second lieutenant";"N";"सेना का पदाध्यक्ष"
"second name";"N";"उपनाम"
"second nature";"N";"निश्चित आदत"
"second Person";"N";"मध्यम पुरुष"
"second Rate";"Adj";"मामूली"
"second sight";"N";"दिव्य दृष्टि"
"Second String";"Adj";"दूसरी स्ट्रिंग"
"Second Wind";"N";"थके होने के बाद पुन: प्रयास करना"
"second";"N";"द्वितीय श्रेणी"
"Second in Command";"N";"सहायक अध्यक्ष"
"second";"Adj";"दूसरा"
"second";"Adj";"द्वितीय"
"Second hand";"N";"सेकण्डकीसुई"
"second";"V";"समर्थन कररना"
"second";"V";"सहारा देना"
"second";"V";"स्थानान्तरित करना"
"seconder";"N";"अनुमोदक"
"seconder";"N";"समर्थक"
"secondary";"Adj";"अमुख्य"
"secondary";"Adj";"दूसरे क्रम का"
"secondary";"Adj";"माध्यमिक"
"secondarily";"Adj";"गौणत"
"secrecy";"N";"गुप्तता"
"secret";"Adj";"गुप्त"
"secret";"Adj";"छिपकर"
"secret";"N";"रहस्य"
"secret";"N";"मर्म"
"secret";"N";"रहस्य"
"secret Agent";"N";"गुप्तचर"
"Secret Ballot";"N";"बन्द मतपेटी"
"Secret Police";"N";"पुलिसजासूसी करने वाली"
"secret Service";"N";"खुफइया विभाग"
"secretariat";"N";"सचिवालय"
"secretary";"N";"मुंशी"
"secretary";"N";"मंत्रि"
"secretarial";"Adj";"साचिविक"
"secretarial";"Adj";"लिपिकीय"
"Secretary Gereral";"N";"महासचिव"
"secretary of State";"N";"मंत्रि"
"secrete";"V";"स्रावित करना"
"secrete";"V";"छिपाना"
"secretion";"N";"स्राव"
"secretive";"Adj";"गोपनीय"
"secretively";"Adv";"छिपकर"
"sect";"N";"संप्रदाय"
"sectarian";"Adj";"सांप्रदायिक"
"sectarianism";"N";"सांप्रदायिकता"
"section";"N";"भाग"
"section";"N";"वर्ग"
"section";"N";"काट"
"section";"N";"विभाग"
"sectional";"Adj";"वर्गीय"
"sectionalism";"N";"वर्गवाद"
"sector";"N";"अंचल"
"sector";"N";"वृत्तखण्ड"
"sector";"N";"क्षेत्र"
"secular";"Adj";"धर्मनिरपेक्ष"
"secular";"Adj";"गृहस्थ पादरी"
"secularism";"N";"धर्मनिरपेक्षतावाद"
"secularist";"Adj";"धर्मनिरपेक्षतावादी"
"secularize";"V";"धर्मनिरपेक्ष बना देना"
"secure";"V";"प्राप्त कर लेना"
"secure";"V";"कसकर बाधना"
"secure";"V";"की रक्षा करना"
"secure";"Adj";"निश्चिंत"
"secure";"Adj";"निश्चित"
"secure";"Adj";"सुरक्षित"
"secure";"Adj";"सुदृढ"
"securely";"Adv";"सुरक्षित रूप से"
"security";"N";"सुरक्षा"
"security";"N";"प्रतिभू"
"security";"N";"जमानत"
"security Council";"N";"सुरक्षा परिषद"
"security risk";"N";"जीवनकोखतरा"
"sedan";"N";"पालकी"
"sedan";"N";"डओली"
"sedate";"Adj";"शान्त"
"sedate";"Adj";"गम्भीर"
"sedately";"Adj";"गम्भीरता से"
"sedateness";"N";"गम्भीरता"
"sedate";"V";"शान्त करना"
"sedation";"N";"शान्ति"
"sedation";"N";"शान्त"
"sedative";"N";"उपशामक"
"sedentary";"Adj";"अभ्रमणशील"
"sedentary";"Adj";"स्थानबद्ध"
"sedge";"N";"नरकट"
"sediment";"N";"तलछट"
"sediment";"N";"अवसाद"
"sedimentary";"Adj";"तलछटी"
"sedimentation";"N";"अवसादन"
"sedition";"N";"राजद्रोह"
"seditious";"Adj";"राज्द्रोहात्मक"
"seduce";"V";"बहकाना"
"seduce";"V";"का शील भंग करना"
"seducer";"N";"बहकानेवाला"
"seduction";"N";"प्रलोभन"
"seductive";"Adj";"सम्मोहक"
"seductively";"Adv";"लुभाते हुए"
"seductiveness";"N";"सम्मोहकता"
"sedulous";"Adj";"परिश्रमी"
"Sedulously";"Adv";"परिश्रम से"
"see";"V";"देखना"
"see";"V";"से मिलना"
"see";"V";"पता लगाना"
"see";"V";"समझना"
"see";"V";"अनुभव करना"
"see";"V";"साथ जाना"
"see";"V";"कल्पना करना"
"see about";"V";"प्रबन्ध करना"
"see off";"V";"विदा करना"
"see over";"V";"निरीक्षण करना"
"see through";"V";"समझना"
"see through";"V";"पूरा करना"
"see through";"V";"की सहायता करना"
"seed";"N";"बीज"
"seeded";"Adj";"बीजदार"
"seeded";"Adj";"प्रौढ"
"seedless";"N";"बीजरहित"
"seedbed";"N";"तैयार क्यारी"
"seedcake";"N";"जीरा मिश्रित रोटी"
"seed pearl";"N";"छोटा मोती"
"seedling";"N";"अंकुर"
"seedman";"N";"बीज का व्यापारी"
"seedy";"Adj";"फटीचर"
"seek";"V";"ढूढना"
"seek";"V";"मागना"
"seek";"V";"कोशिशकरना"
"seeker";"N";"जिज्ञासु"
"seem";"V";"प्रतीत होना"
"seem";"V";"लगना"
"seem";"V";"जान पडना"
"seeming";"Adj";"प्रतीयमान"
"seemingly";"Adv";"प्रतीयमानत"
"seemly";"Adj";"उचित"
"seemliness";"N";"औचित्य"
"seen";"V";"देखा"
"seep";"V";"रिसना"
"seepage";"N";"निस्यन्दन"
"seer";"N";"देखनेवाला"
"seer";"N";"द्रष्टा"
"seer";"N";"ऋषि"
"seer";"N";"पैगंबर"
"see-saw";"N";"झूमा-झूमी"
"see-saw";"N";"उतार-चडआव"
"see-Saw";"V";"झूमा-झूमी खेलना"
"see-Saw";"V";"घटना-बढना"
"seethe";"V";"उबलना"
"seethe";"V";"अति कुपित होना"
"segment";"N";"भाग"
"segment";"N";"फाक"
"segmentation";"N";"खण्डीकरण"
"segregate";"V";"पृथक करना"
"segregation";"N";"पृथक्करण"
"seismic";"Adj";"भूकम्पीय"
"seismograph";"N";"भूकम्प लेखी"
"seismology";"N";"भूकम्प विज्ञान"
"seize";"V";"छीनना"
"seize";"V";"जीत लेना"
"seize";"V";"गिरफतार करना"
"seize";"V";"से लाभ उठाना"
"seize";"V";"छलनी होना"
"seizure";"N";"पकड"
"seizure";"N";"दौरा"
"seizure";"N";"झटका"
"seldom";"Adv";"बिरले ही"
"seldom";"Adv";"कभी-कभार"
"select";"V";"चुनना"
"select";"V";"छाटना"
"selector";"N";"चुननेवाला"
"selector";"N";"चयक"
"select Committee";"N";"प्रवर समिति"
"selection";"N";"चयन"
"selection";"N";"संकलन"
"selective";"Adj";"चयनात्मक"
"selective";"Adj";"चयनशील"
"Selectively";"Adv";"चयन करके"
"self";"N";"स्व"
"self";"N";"व्यक्तित्व"
"self";"N";"स्वार्थ"
"self absorbed";"Adj";"आत्मलीन"
"Self Access";"N";"स्वयं निकालना"
"self addressed";"Adj";"अपने पते का"
"Self adhesive";"Adj";"स्वयं चिपकने वाला"
"self Appointed";"Adj";"स्वयं नियुक्त"
"self Assertive";"Adj";"स्वाग्रही"
"self Assertion";"N";"स्वाग्रह"
"sell";"V";"बेचना"
"seller";"N";"विक्रेता"
"sellotape";"N";"सेलो टेप"
"selvage";"N";"कपडए की गोट"
"selves";"Adj";"स्वयं"
"semantic";"Adj";"अर्थगत"
"semantics";"N";"अर्थविज्ञान"
"semaphore";"N";"सिकंदरा"
"semaphore";"N";"सिगनल का खंभ"
"semaphore";"V";"संकेत से सूचित करना"
"semblance";"N";"सादृश्य"
"semen";"N";"वीर्य"
"seminal";"Adj";"शुक्र सम्बन्धी"
"semester";"N";"सत्र"
"semi";"N";"अर्ध"
"semi-breve";"N";"स्वर"
"semi-circle";"N";"अर्ध-वृत्त"
"semi-colon";"N";"अर्ध-विराम"
"semi-conductor";"N";"अर्धचालक"
"semi-concious";"Adj";"अर्धचेतना"
"semi-detached";"Adj";"जुडवा"
"semi-final";"N";"उपान्त"
"semi-final";"N";"सेमीफायीनल"
"semi-finalist";"N";"उपान्त्य"
"seminar";"N";"अध्ययन गोष्ठी"
"seminar";"N";"परिसंवाद"
"seminary";"N";"पादरियों की शिक्षा संस्था"
"semiotics";"N";"लक्षणविज्ञान"
"semi-precious";"Adj";"अल्प-मूल्य"
"Semi-skilled";"Adj";"अर्धकुशल"
"semitic";"Adj";"सामा"
"semi-vowel";"N";"अर्थस्वर"
"semolina";"N";"सूजी"
"senate";"N";"सीनेट"
"senate";"N";"अधिसभा"
"send";"V";"भेजना"
"send sb Down";"V";"कैद करना"
"send sb Down";"V";"निकाल देना"
"send for (sth or sb)";"V";"बुला भेजना"
"send in (sb or sth)";"V";"भेजनेकेलिये"
"send off (for sth)";"V";"भेज देना"
"send sb off";"V";"निकालना"
"send sth on";"V";"अपने पहुचने से पहले कोई वस्तु भेजना"
"send out (sth)";"V";"बाटना"
"send out (sth)";"V";"पैदा करना"
"send (sb) to";"V";"विशेष स्थिति में पहुचा देना"
"send-off";"N";"विदाई"
"send-up";"N";"नकल कर के हसी उडआने की प्रक्रिया"
"sender";"N";"प्रेषक"
"senescent";"Adj";"जीर्यमाण"
"senile";"Adj";"जराग्रस्त"
"senility";"N";"बुढआपा"
"Senile Dementia";"N";"जराजन्य मनोभ्रंश"
"senior";"Adj";"वरिष्ठ"
"senior";"Adj";"ज्येष्ठ"
"senior Citizen";"N";"वृद्ध अथवा सेवा निवृत्त व्यक्ति"
"sensation";"N";"अनुभूति"
"sensation";"N";"स्पर्शज्ञान"
"sensation";"N";"उत्तेजना"
"sensation";"N";"सनसनी"
"sensational";"Adj";"संवेदनात्मक"
"sensational";"Adj";"सनसनीदार"
"sensational";"Adj";"बहुत सुन्दर"
"sensationalism";"N";"सनसनीफैलानेकाकार्य"
"sensationalise";"V";"फैलानासनसनीरूपसे"
"sense";"N";"ज्ञानेन्द्रिय"
"sense";"N";"बुद्धि"
"sense";"N";"होश"
"sense";"N";"समझ"
"sense";"N";"विवेक"
"sense";"N";"भाव"
"sense";"N";"अर्थ"
"sense";"V";"अनुभव करना"
"sense";"V";"मेहसूस करना"
"senseless";"Adj";"बेवकूफ"
"senseless";"Adj";"बेहोश"
"Senselessly";"Adv";"बिनासोचे"
"sensibility";"N";"संवेदनशीलता"
"sensibilities";"N";"भावुकताएं"
"sensible";"Adj";"समझदार"
"sensible";"Adj";"काफी"
"sensible";"Adj";"पर्याप्त"
"sensibly";"Adv";"समझदारी से"
"sensitive";"Adj";"संवेदनशील"
"sensitive";"Adj";"कोमल"
"Sensitively";"Adj";"भावुकतासे"
"sensitivity";"N";"भावुकता"
"sensitivities";"N";"भावनाए"
"sensitize";"V";"सुग्राही बनाना"
"sensor";"N";"सेंसर"
"sensory";"Adj";"संवेदी"
"sensory";"Adj";"इंद्रियग्राही"
"sensualist";"N";"इंद्रियार्थवादी"
"sensuality";"N";"विषयासक्ति"
"sensuous";"Adj";"ऎंद्रिक"
"sentence";"N";"वाक्य"
"sentence";"N";"सजआ"
"sententious";"Adj";"सारगर्भित"
"sententiously";"Adv";"वाक्यगत"
"sentiment";"N";"भावना"
"sentiment";"N";"विचार"
"sentimental";"Adj";"भावुकतापूर्ण"
"sentimentalist";"N";"भावुक व्यक्ति"
"sentimentalize";"V";"भावुक बनना या बनाना"
"sentinel";"N";"प्रहरी"
"sentry";"N";"संतरी"
"separable";"Adj";"वियोज्य"
"separate";"Adj";"अलग"
"separate";"Adj";"पृथक"
"separate";"Adj";"भिन्न"
"separately";"Adv";"अलग"
"separation";"N";"पृथक्करण"
"separation";"N";"वियुक्ति"
"separation";"N";"विच्छेद"
"sepia";"N";"सीपिअ"
"september";"N";"सितम्बर"
"septic";"Adj";"पूतिक"
"septicaemia";"N";"पूतिजीवरक्तता"
"septuagenarian";"N";"सप्तति-वर्षीय"
"septuagenarian";"Adj";"सप्तति-वर्षीय"
